DATATYPE	 3 Dimensional Data
XYZUNITS	 Nanometer;Nanometer;Emission
DECIMALSYMBOL	 ,
285,0	3,055	12,042	44,214	20,440	10,428	13,139	562,020	1015,749	494,022	1,900	0,631	0,313	0,321	0,139	0,150	0,083	0,086	0,007	-0,065	-0,105	-0,066	0,021	0,020	-0,020	-0,125	-0,008	-0,106	-0,062	-0,087	-0,089	-0,061	-0,104	-0,072	-0,104	0,009
286,0	3,949	8,721	42,572	27,329	12,456	12,465	293,964	1015,749	876,302	7,378	0,514	0,397	0,285	0,240	0,136	0,111	-0,014	-0,018	-0,037	-0,090	-0,034	0,033	0,116	0,010	-0,037	-0,121	-0,031	-0,111	-0,112	-0,131	-0,046	0,005	-0,021	-0,027	0,023
287,0	3,988	7,327	38,125	34,909	13,963	13,367	139,456	1015,749	1015,749	26,229	0,684	0,413	0,450	0,347	0,107	0,073	0,023	-0,053	-0,047	-0,036	0,027	-0,021	0,049	0,031	-0,060	-0,076	-0,067	-0,072	-0,076	-0,059	0,047	0,009	-0,029	0,074	-0,059
288,0	4,202	6,800	32,131	40,592	16,046	15,371	62,132	1015,749	1015,749	93,921	0,772	0,459	0,260	0,211	0,066	0,116	0,047	0,009	-0,048	-0,041	-0,086	0,073	0,076	-0,008	-0,101	-0,072	-0,135	-0,083	-0,066	-0,017	0,002	0,060	-0,030	-0,039	-0,082
289,0	4,725	6,857	26,841	48,274	18,933	16,184	25,579	985,542	1015,749	230,245	1,009	0,564	0,354	0,204	0,198	0,038	-0,007	-0,039	0,023	-0,029	0,012	0,029	0,065	0,013	-0,045	-0,042	-0,075	-0,125	0,017	0,044	-0,064	-0,008	0,003	-0,013	-0,016
290,0	5,262	6,831	22,011	52,172	23,913	17,769	16,331	689,274	1015,749	473,608	1,566	0,645	0,397	0,170	0,132	0,021	0,020	0,072	-0,075	-0,015	0,002	-0,004	0,026	0,046	-0,020	-0,170	-0,119	-0,096	-0,091	0,010	0,006	0,055	0,040	-0,020	0,027
291,0	5,352	7,004	17,379	51,248	27,921	17,894	15,770	396,808	1015,749	768,694	5,332	0,624	0,323	0,195	0,205	0,126	0,011	-0,002	-0,058	0,018	-0,048	0,015	0,059	0,038	-0,042	-0,023	-0,043	-0,094	0,003	-0,014	0,070	-0,085	0,046	-0,023	0,040
292,0	5,344	7,337	15,013	51,610	34,684	20,062	16,068	195,819	1015,749	1013,822	21,428	0,729	0,338	0,286	0,242	0,169	0,004	-0,028	-0,014	0,017	-0,033	0,035	0,188	0,070	0,000	-0,027	-0,098	-0,118	-0,058	-0,015	0,011	0,050	0,048	0,032	0,049
293,0	5,929	7,223	13,495	46,349	41,890	20,777	17,318	82,036	1015,749	1015,749	72,402	0,854	0,454	0,329	0,219	0,083	0,050	-0,007	-0,025	0,002	0,004	0,001	0,141	0,037	-0,067	-0,146	-0,073	-0,038	-0,031	0,055	0,043	0,038	0,022	0,072	-0,002
294,0	6,412	8,028	12,839	41,168	47,800	23,059	18,101	29,739	1008,678	1015,749	187,736	0,985	0,504	0,317	0,239	0,101	0,011	0,050	0,018	-0,058	0,048	0,077	0,053	0,083	-0,114	-0,103	-0,100	-0,049	-0,061	-0,029	-0,062	0,010	0,074	0,033	0,003
